Municipality (n=104),Province,Latitude,Longitude,Year,Population,Part of NZAP (Y/N),Part of GCoM with a Mitigation Plan (Y/N),Part of PPC (Y/N),CAP Filename
Town of Paradise,Newfoundland and Labrador,47.5235239,-52.8693287,2020,27000,NO,NO,YES,Newfoundland and Labrador_Town of Paradise
Township of Langley,British Columbia,49.0743297,-122.5593213,,158000,NO,NO,YES,British Columbia_Township of Langley
Township of Selwyn,Ontario,44.4062479,-78.3378513,2016,17060,YES,NO,YES,Ontario_Township of Selwyn
Township of Uxbridge,Ontario,44.1086732,-79.1232225,2023,23000,NO,NO,YES,Ontario_Township of Uxbridge
Vancouver,British Columbia,49.2827291,-123.1207375,2018,631486,NO,NO,YES,British Columbia_Vancouver
Vernon,British Columbia,50.2670137,-119.2720107,2021,44519,NO,NO,NO,British Columbia_Vernon
Victoria,British Columbia,48.4284207,-123.3656444,2018,91867,YES,YES,NO,British Columbia_Victoria
Victoriaville,Québec,46.0556724,-71.9589559,2023,"46,322",YES,NO,YES,Québec_Victoriaville
Ville de Beloeil,Québec,45.5679246,-73.2039469,2023,25000,YES,NO,NO,Quebec_Ville de Beloeil
Ville de Chambly,Québec,45.4409293,-73.3015764,2022,31450,YES,NO,NO,Quebec_Ville de Chambly
Ville de Gatineau,Québec,45.4765446,-75.7012723,2021,291000,YES,NO,NO,Quebec_Ville de Gatineau
Ville de Granby,Québec,45.4032289,-72.7340662,2023,70823,YES,NO,NO,Quebec_Ville de Granby
Ville de Montréal,Québec,45.5018869,-73.5673919,2020,1750000,YES,YES,YES,Quebec_Ville de Montréal
Ville de Québec,Québec,46.8130816,-71.2074596,2021,542000,YES,NO,NO,Quebec_Ville de Québec
Waterloo Region,Ontario,43.4757989,-80.543845,,120000,YES,NO,NO,Ontario_Waterloo Region
Whistler,British Columbia,50.1161686,-122.9535117,2020,11854,YES,NO,YES,British Columbia_Whistler
Whitby,Ontario,43.8997643,-78.9400809,2023,135566,NO,YES,NO,Ontario_Whitby
Whitehorse,Yukon,60.7197137,-135.0522761,,25000,NO,NO,YES,Yukon_Whitehorse
Winnipeg,Manitoba,49.8954221,-97.1385145,2018,749607,YES,NO,NO,Manitoba_Winnipeg
Yellowknife,Northwest Territories,62.4539717,-114.3717886,2015,20801,NO,NO,YES,Northwest Territories_Yellowknife
York Region,Ontario,43.9884612,-79.4703885,2002,1239500,YES,NO,NO,Ontario_York Region
